region,folio,razon_social,convenio,resolucion,egreso,rendicion,garantia,completo,faltantes
RM,54445,AGRUPACIÓN DE APODERADOS Y JÓVENES MOSAICO,✓,✓,✓,FALTA,-,NO,rendicion
RM,54480,JUNTA DE VECINOS N°58 TORIBIO LARRAIN,✓,✓,✓,FALTA,-,NO,rendicion
RM,54706,JUNTA DE VECINOS NUEVA SANTA ANA DE LOS ARCOS,✓,✓,✓,FALTA,-,NO,rendicion
RM,54708,JUNTA DE VECINOS CLAUDIO MATTE PÉREZ,✓,✓,✓,FALTA,-,NO,rendicion
RM,54743,CENTRO CULTURAL SANTIAGO 12,✓,✓,✓,FALTA,-,NO,rendicion
RM,54902,FUNDACION DE BENEFICENCIA PUBLICA CAMBIEMOS LA HISTORIA DE LA DONACION DE ORGANOS EN CHILE,✓,✓,FALTA,FALTA,✓,NO,"egreso, rendicion"
RM,54965,"AGRUPACION DE MUJERES EMPRENDEDORAS Y ARTESANAS DE PAC,FUERZA DE MUJER DOMO NEWEN",✓,✓,✓,FALTA,-,NO,rendicion
RM,55041,FUNDACIÓN PEWENKEM,FALTA,✓,FALTA,FALTA,-,NO,"convenio, egreso, rendicion"
RM,55146,FUNDACIÓN PARA EL DESARROLLO LOCAL COMUNIDADES ESCOLARES SUSTENTABLES,✓,✓,✓,FALTA,-,NO,rendicion
RM,55181,"CORPORACION CHILEPRIMERO, CORPORACIÓN PARA EL DESARROLLO SUSTENTABLE ECONÓMICO, PRODUCTIVO, SOCIAL.",FALTA,FALTA,FALTA,FALTA,-,NO,"convenio, resolucion, egreso, rendicion"
RM,55380,CLUB DEPORTIVO PUENTE SKATE,✓,✓,✓,FALTA,✓,NO,rendicion
RM,55759,AGRUPACIÓN FOLCLÓRICA RAIPILLÁN,FALTA,FALTA,FALTA,FALTA,-,NO,"convenio, resolucion, egreso, rendicion"
RM,55788,CENTRO CULTURAL CREANDO INTEGRACIÓN PARA JÓVENES CON TEA,✓,✓,✓,FALTA,-,NO,rendicion
RM,55914,"CENTRO CULTURAL CON ALMA PATRIMONIAL:PATRIMONIO,MEMORIA Y TIERRA",FALTA,FALTA,FALTA,FALTA,-,NO,"convenio, resolucion, egreso, rendicion"
RM,56037,CORPORACIÓN DE ARTISTAS POR LA REHABILITACIÓN Y REINSERCIÓN SOCIAL A TRAVÉS DEL ARTE,✓,✓,✓,FALTA,✓,NO,rendicion
RM,56063,FUNDACIÓN DE BENEFICENCIA SOMOS MULTICOLOR,✓,✓,✓,FALTA,-,NO,rendicion
RM,56166,JUNTA DE VECINOS VILLA LO BLANCO,✓,✓,✓,FALTA,-,NO,rendicion
RM,56201,CONSEJO VECINAL DE DESARROLLO UNIDOS POR EL BARRIO SAN JOAQUÍN,✓,✓,✓,FALTA,-,NO,rendicion
RM,56277,JUNTA DE VECINOS VILLA SAN JOSÉ,✓,✓,✓,FALTA,-,NO,rendicion
RM,56394,FUNDACIÓN HOGAR DE MENORES DOMINGO SAVIO,✓,✓,✓,FALTA,-,NO,rendicion
RM,56440,CORPORACIÓN CHILENA DE PREVENCIÓN DEL SIDA,✓,✓,✓,FALTA,-,NO,rendicion
RM,56498,FUNDACIÓN VOLVER A REÍR,✓,✓,✓,FALTA,-,NO,rendicion
RM,56589,FUNDACIÓN MATTER OF TRUST CHILE,✓,✓,✓,FALTA,-,NO,rendicion
RM,56596,FUNDACIÓN AULA VIVA,✓,✓,✓,FALTA,-,NO,rendicion
RM,56651,JUNTA DE VECINOS UNIÓN AMERICANA Y YERBAS BUENAS,✓,✓,✓,FALTA,-,NO,rendicion
RM,56666,ONG VIDA DIGNA,FALTA,✓,✓,FALTA,-,NO,"convenio, rendicion"
RM,56734,JUNTA DE VECINOS LAS PARCELAS DE PAJARITOS,✓,✓,✓,FALTA,-,NO,rendicion
RM,56904,UNION COMUNAL DE ADULTOS MAYORES LA PINTANA,✓,✓,✓,FALTA,-,NO,rendicion
RM,56936,CLUB DE ADULTO MAYOR LAS ABEJITAS HACEDORAS,✓,✓,✓,FALTA,-,NO,rendicion
RM,56943,FUNDACIÓN EMBAJADA DEL INMIGRANTE -FEDI,✓,✓,FALTA,FALTA,-,NO,"egreso, rendicion"
RM,56950,CLUB DE ADULTO MAYOR EL TAQUITO DE CHICAUMA,✓,✓,✓,FALTA,-,NO,rendicion
RM,56985,MUDET MUJER DESAFIO TRABAJO,✓,✓,✓,FALTA,-,NO,rendicion
RM,56992,CLUB DEPORTIVO Y CULTURAL SOCIAL MADRID,✓,✓,✓,FALTA,✓,NO,rendicion
RM,57013,JUNTA DE VECINOS A-17 JOSE MIGUEL CARRERA,✓,✓,✓,FALTA,✓,NO,rendicion
RM,57209,AGRUPACIÓN SOCIAL Y CULTURAL ARTESANOS Y EMPRENDEDORES DE CONCHALÍ,FALTA,✓,✓,FALTA,-,NO,"convenio, rendicion"
RM,57329,CLUB DE ADULTO MAYOR SANTA TERESITA DEL NIÑO JESUS,✓,✓,✓,FALTA,-,NO,rendicion
RM,57377,CENTRO CULTURAL Y DEPORTIVO OCUPANDO ESPACIOS,✓,✓,✓,FALTA,-,NO,rendicion
RM,57609,FUNDACIÓN INGENIEROS SF CHILE,✓,✓,FALTA,FALTA,-,NO,"egreso, rendicion"
RM,57720,CENTRO DE DESARROLLO SOCIAL MAESTRANZA + CULTURA,✓,✓,✓,FALTA,-,NO,rendicion
RM,57798,ALDEAS INFANTILES SOS CHILE,✓,✓,FALTA,FALTA,-,NO,"egreso, rendicion"
RM,57810,AGRUPACION DE MUJERES ALFA Y OMEGA UNIVERSAL,✓,✓,✓,FALTA,✓,NO,rendicion
RM,57818,ORGANIZACIÓN CULTURAL Y DE ADULTO MAYOR LAS TORCACITAS.,FALTA,FALTA,FALTA,FALTA,-,NO,"convenio, resolucion, egreso, rendicion"
RM,57827,FUNDACIÓN SOY CUERPO,✓,✓,✓,FALTA,-,NO,rendicion
RM,57990,CUERPO DE BOMBEROS DE CONCHALÍ- HUECHURABA,✓,✓,✓,FALTA,✓,NO,rendicion
RM,57991,ORGANIZACIÓN DEPORTIVO CULTURAL Y SOCIAL PARQUE LAS BARRANCAS,✓,✓,✓,FALTA,-,NO,rendicion
RM,58094,ORGANIZACION NO GUBERNAMENTAL DE SALUD PUBLICA VIHDA,✓,✓,FALTA,FALTA,-,NO,"egreso, rendicion"
RM,58242,TODOS POR UN TANGO,✓,✓,✓,FALTA,-,NO,rendicion
RM,58252,JUNTA DE VECINOS EL PORTEZUELO,✓,✓,✓,FALTA,-,NO,rendicion
RM,58277,FUNDACIÓN MOVIMIENTO CRISTIANO POR UNA EDUCACIÓN SUSTENTABLE,✓,✓,✓,FALTA,-,NO,rendicion
RM,58465,TAÑI RUKA MEU,✓,✓,✓,FALTA,-,NO,rendicion
RM,58485,FUNDACIÓN ERES,✓,✓,✓,FALTA,-,NO,rendicion
RM,58758,ORGANIZACIÓN COMUNITARIA,✓,✓,✓,FALTA,✓,NO,rendicion
RM,58788,FUNDACIÓN GESTIONA E INNOVA EDUCATIVA,✓,✓,✓,FALTA,-,NO,rendicion
RM,58791,"ORGANIZACION SOCIAL Y DEPORTIVA THANOS, MELIPILLA",✓,✓,✓,FALTA,-,NO,rendicion
RM,58804,CENTRO CULTURAL LA AMBULANCIA DE LA RISA,✓,✓,✓,FALTA,-,NO,rendicion
RM,58829,CENTRO DE PROMOCIÓN Y PREVENCIÓN EN SALUD MENTAL CLARITA DE LARMINAT,✓,✓,✓,FALTA,✓,NO,rendicion
RM,58944,JUNTA DE VECINOS N°59 VILLA FANTASIA,✓,✓,✓,FALTA,-,NO,rendicion
RM,58951,AGRUPACION JUVENIL CULTURAL DEPORTIVO RAIMAPU,FALTA,✓,✓,FALTA,-,NO,"convenio, rendicion"
RM,59006,COMUNIDAD INDÍGENA QUINÁN CHICUY,✓,✓,FALTA,FALTA,-,NO,"egreso, rendicion"
